bangla_speech,barishal_bangla_speech,chittagong_bangla_speech,mymensingh_bangla_speech,noakhali_bangla_speech,sylhet_bangla_speech
আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,মর বহুত দিন আগের্গ এউক্কা বিয়া হইসেলে,আঁর বউতদিন আগে এব্বার বিয়া অইল,আমার অনেকদিন আগে একবার বিয়া হইছিল,আর অনেকদিন আগে একবার বিয়া অইছিলো,আমার বাক্কা আগে এখবার বিয়া অইছিল
আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,মর মাএ মরে কইসেলে বিআ হর্লে জিবন পরিবর্তন হইআ জায়,আঁর মা আঁরে হইল বিয়া অইলে জিবন ফাল্টি যা গই,আমার মা আমারে কইসিল বিয়া হইলে জীবন বদলায়া যায়,আর মা অরে কৈসিলো বিয়া হইলে জীবন পরিবর্তন হয়ে  যায়,আমার আম্মায় আমারে কইছলা বিয়া অইলে জীবন বদলি যায়
আম্মু ঐদিন ঠিক কথাই বলেছিলও,মাএ অইদিন হাস্সইঅ কথাই কইসেলে,আম্মু অইদিন টিক হতাই হইল,আম্মা অইদিন ঠিক কথাই কইসিল,মা যেদিন ঠিক কথা যে কৈসিলো,আম্মায় হেদিন ঠিক কথাউ কইছলা
আম্মু সব সময় আমার মনের কথা বুঝে,মাএ শব্কালে মর কইল্যার কথাউগ্গা বঝে,আম্মু এগাযা আঁর মনোর হতা বুজে,আম্মা সব সময় আমার মনের কথা বুঝে,আম্মা   বেক সময় আর মনের কথা বুঝে,আম্মায় হখল সময় অউ আমার মনর কথা বুজইন
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ,ঘরের কামের সেম্রি আহন থিক্কইর্রা কাম হরে না,আঁর বাসার হাজর মাইফোয়া ইবা ইয়া গম গরি হাজ গরিত ন ফারে,আমার ঘরের কামের ছেড়িটা এখন ভাল মত কাম করে নাহ,আনগো বাসার কামের মাইয়া ইগা ওন আর ভালা  কাম করে না,আমার বাসার কামর ফুড়িটায় এখন ভালা মত কাম করে না
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক,মর ঘরের কামের সেম্রি দুই দিন ধইর্রা পলাইন্না,আঁর বাসার হাজর মাইফোয়া ইবা দুইদিন অর দাই গিয়্যুয়,আমার ঘরের কামের ছেড়িটা দুইদিন ধইরা পালাইছে,আনগো বাসার কামের মাইয়া ইগা দুইদিন ধরি পলাইরৈসে,আমার বাসাার কামর ফুড়িটায় দুইদিন ধরি ভাগন্তিত 
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে,মর ঘরের দারআন আহন অই সেম্রির গেরামে ঘর্তে গেসে,আঁর বাসার দারোয়ান এহন ইতার গেরামত বেরাইত গেয়্যে,আমার বাড়ির দারওয়ান এহন অর গ্রামে ঘুরতে গেছে,আনগো বাড়ির দারোয়ান হেতের গ্রামের বাড়ি গেচে গুরবার লাই,আমার বাসার দারোয়ান এখন তার গ্রামো পাখানিত গেছে
তোমাকে আমি কল দিবো না,তমারে মুই কল্ দিমুনা,তোঁয়ারে আঁই কল ন দিয়ুম,তোমারে আমি কল দিতাম না,আন্নেরে আই কল দিমু না,আমি তুমারে কল দিতাম নায় 
এই জিনিষটা খুবই বিরক্তিকর ছিল,এই জিনিশ খান আক্কালে অনেক গা জলুইন্না আসেল,এই জিনিসসান কুব বিরক্তিকর আচিল,এই জিনিসটা অনেক বিরক্তিকর আছিল,ইয়ান বেশি অসইজ্যো আসিল,অউ জিনিসটা খুবঅই  বিরক্তিকর আছিল
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল,হে শ্যলেত দিআ মর লগে দেহা কর্তে আইসেলে,ইতে সিলেটত্তুন আঁর ফোয়ারে দেহা গইরতো আইস্যে,সে সিলেট থাইকা আমার সাথে দেখা করতে আইসিল,হেয় শীলোট তুন আর লগে দেয়া কইত্তে আইছিল,হে সিলেট থাকি আমার লগে দেখা করাত আইছিল
সে এখন রাজশাহী চলে গেছে,হে আহন রাজ্শাহি গেসিগ্গা,ইতে এহন রাজশাহী গেইয়্যুই,সে এহন রাজশাহী চইলা গেসে,হেয় অন রাসসায়ী চলি গেছে,হে এখন রাজশাহীত গেছে গিয়া
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়,উনি আহন হেয়ার দস্গ গ লগে বিরি খায়,ইতে এহন তার বন্দুওক্কলর ফোয়ারে সিগেট হায়,সে এহন তার বন্ধুরার সাথে সিগারেট খায়,হেতে অন হেতের দোস্তের লগে বিড়ি টানে,হে এখন তার বন্ধুবান্ধবর লগে সিগারেট খায়
সে একদমই হাসে না,হে আক্কালেই ভেত্কায় না,এতে এব্বেরেও ন আসে,সে এক্কেরেই হাসেনা,হেতে এক্কারেই আশেনা,হে এখেবারেউ হাসে না
সে আমাকে অপমান করে,হে মরে আক্সের অপমান হিরে,এতে আঁরে অফমান গইরগে,সে আমারে অপমান করে,হিগা আরে বেইজ্জুদি করে,হে আমারে অপমান করে
তাঁর বই পরতে একদমই ভাল লাগে না,হ্যার বই পড়তে এক্কালেই ভালো লাগে না,ইতাত্তুন বই ফইরতো এফফোডাও গম ন লাগে,তার বই পড়তে এক্কেরেই ভালালাগেনা,হিগার বই হইটটে এককারে বালা লাগে না,তার বই পড়তে একদম অউ ভালা লাগে না
আপনার কি বই পড়ার অভ্যাস আছে ?,আমনের কি বই পড়ার অভ্যাস আছে?,অনর কি বই ফরার অব্বাস আচে নে,আফনের কি বই পড়ার অভ্যাস আসে?,আন্নের কি বই হড়ার ঐববাস আছে?,আফনার কিতা বই পড়ার অভ্যাস আছে নি?
তুমি কি আমাকে চিনো ?,তুমি কি মোরে চেনো?,তুঁই কি আঁরে চিনো নে,তুমি কি আমারে চিনো?,তুই য়ারে চিনো?,তুমি আমারে চিনো নি?
আমি তোমাকে চিনতে  পারলাম  না,মুই তোমারে চেনতে পারলাম না,আঁই তোয়াঁরে চিনিত ন ফাইরলাম,আমি তোমারে চিনতে পারলাম না,আই তোরে আগে কোনোসুমে দেই ন,মুই তুুমারে চিনতাম পারিয়ার না
আমি তোমাকে আগে কখনো দেখি নাই,মুই তোমারে আগে কহনো দেহি নাই,আঁই তোয়াঁরে আগে হনো অত্তে ন দেহি,আমি তোমারে আগে কখনো দেখি নাই,আই  তোরে চিনতে হাইরলাম না,মুই তুমারে এর আগে কুনোদিন দেখছি না
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না,মোর পড়াল্যাহা করতে এক্কালেই ভালো লাগে না,আঁত্তুন ফরালেহা গইরতো এফফোডাও গম ন লাগে,আমার পড়ালেহা করতে এক্কেরেই ভালালাগেনা,আর হরালেয়া কইত্তে একছের ভালা লাগে না,পড়ালেখা করতে আমার এখদম ভালা লাগে না
আপনার পড়ালেখা করা উচিত,আমনের পড়াল্যাহা করা দরকার,অনর ফরালেহা গরা উচিত,আপনের পড়ালেহা করা দরকার,আন্নের হরালেয়া করন দরকার,আফনার পড়ালেখা করা উচিত
আপনাকে পড়ালেখা  করতে হবে,আমনের পড়াল্যাহা করতে হইবে,অনোত্তুন ফরালেহা গরা ফরিবো,আপনের পড়ালেহা করতে হইব,আন্নেরে হরালেয়া কইত্তে অইবো,আফনার পড়ালেখা খরা লাগবো
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?,আমনের কি পড়াল্যাহা করতে এক্কালেই ভালো লাগে না?,অনর কি ফরালেহা গইরতো এব্বেরেও গম ন লাগে,আপনের কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,আন্নের কি হরালেয়া কইত্তে একছের ভালা লাগে না,আফনার কিতা পড়ালেখা করতে এখদম ভালা লাগে নানি?
তোর পড়ালেখা কোরতে হবে,তোর পড়াল্যাহা করতে হইবে,তোত্তুন ফরালেহা গরা ফরিবো,তর পড়ালেহা করতে হইব,তোর হরালেয়া কইরতো অইবো,তর পড়ালেখা করা লাগবো
তুই কি আর পড়ালেখা করবি নাহ ?,তুই কি আর পড়াল্যাহা করবি না?,তুই কি আর ফরালেহা ন গরিবি,তুই কি আর পড়ালেহা করতি নাহ?,তুই কি আর হরালেয়া কইত্তি নও,তুই কিতা আর পড়ালেখা করতে নানি
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?,তুই কি পড়াল্যাহা ছাইড়া দেতে চাও?,তুই কি ফরালেহা চারি দিতো চস নিকি,তুই কি পড়ালেহা ছাইরা দিতে চাস?,তুই কি হরালেয়া ছাড়দিয়া লাইতো চাস ?,তুই কিতা পড়ালেখা ছাড়িত্তে নি?
তোর  কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?,তোর কি পড়াল্যাহা করতে এক্কালেই ভালো লাগে না?,তোর কি ফরালেহা গইরতো এব্বেরেও গম ন লাগে,তর কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,তোর কি হরালেয়া কইত্তে একছের ভালা লাগে না?,তর কিতা পড়ালেখা করতে এখদম অউ ভালা লাগে নানি
তুমি কি এখন খেতে বসবা  ?,তুমি কি এহন খাইতে ববা?,তুঁই কি এহন হাইতো বইবা নে,তুমি কি এহন খাইতে বইবা,তুই কি অন খাইতো বইবি?,তুমি কিতা এখন খানিত বইবায় নি?
আজকে আমার খেতে ভালো লাগছে না,আইজগো মোর খাইতে ভালো লাগতেয়াছে না,আযিয়া আঁর হাইতো মনো ন হর,আইজকা আমার খাইতে ভালা লাগতাসেনা,আইজগা আর খাইতে ভালা লগের না,আইজকু আমার খাইতে ভালা লাগের না
আমার  বিদ্যালয়ে  অনেক বন্ধু আছে,মোর ইসকুলে ম্যালা দোস্তো আছে,আঁর বিদ্যালয়ে বউত বন্দু আচে,আমার ইস্কুলে অনেক বন্ধু আসে,আর স্কুলে মেলা বনদু আছে,ইস্কুলো আমার বাক্কা বন্ধু আছে
আমার ছোট বোন বিদ্যালয়ে  যেতে চায় না,মোর ছোডো বুইন ইসকুলে যাইতে চায় না,আঁর চোড বইন বিদ্যালয়অত যাইত ন চাই,আমার ছোট বইন ইস্কুলে যাইতে চায় না,আর ছোড বইন স্কুলে যাইতো চায় না,আমার ছুটো বইন ইস্কুলো যাইতে চায় না
আমার বিদ্যালয়ে  যেতে অনেক ভাল লাগে,মোর ইসকুলে যাইতে বেমালা ভালো লাগে,আত্তুন বিদ্যালয়অত যাইত বউত বালা লাগে,আমার ইস্কুলে যাইতে অনেক ভালা লাগে,আর স্কুলো যাইতো মেলা ভালা লাগে,আমার ইস্কু্ল যাইতে অনেক ভালা লাগে
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে,হ্যায় হ্যার গেরামের এউক্কা ইসকুলে পড়াল্যাহা করে,ইবা তার গেরামর এক্কান বিদ্যালয় অত ফরালেহা গরে,হেয় তার গেরামের একটা ইস্কুলে পড়ালেহা করে,হেতে  হেতেগো গ্রামে এককান স্কুলে হড়ালেয়া করে,হে তার গাউর এখটা ইস্কুলো পড়ে
সে বিদ্যালয়ে যেতে চায় না,হ্যায় ইসকুলে যাইতে চায় না,ইবা বিদ্যালয়অত যাইত ন চায়,হেয় ইস্কুলে যাইতে চায় না,হেতে স্কুলো যাইতো চায় না,হে ইস্কুলো যাইতো চায় না
তার বিদ্যালয়ে  গিয়ে পড়ালেখা করতে ভাল লাগে না,হ্যার ইসকুলে যাইয়া পড়াল্যাহা করতে ভালো লাগে না,ইতাত্তুন বিদ্যালয় অত যাই ফরালেহা গইরতো গম ন লাগে,হের ইস্কুলে যায়া পড়ালেহা করতে ভালা লাগে না,হেতের স্কুলে যাই হড়ালেয়া কইরতো ভালা লাগে না,তার ইস্কুলো গিয়া পড়ালেখা খরতো ভালা লাগে না
সে বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,হ্যায় ইসকুলে যাইয়া দোস্তোগো লগে কেচ্ছা করে,ইতে বিদ্যালয় অত যাই বন্দু অক্কলর ফোয়ারে গল্ফ গরে,হেয় ইস্কুলে যায়া বন্ধুরার সাথে গল্প করে,হেতে স্কুলো যাই বনদুগোর লগে গল্ফ করে,হে ইস্কুলো গিয়া বন্ধুরার লগে গফ করে
সে বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,হ্যায় ইস্কুলের মাডে পেরতেকদিন ক্রিকেট খেলে,ইতে বিদ্যালয় অর মাডঅত ফত্তিন ক্রিকেট কেলে,হেয় ইস্কুলের মাঠে প্রত্যেকদিন ক্রিকেট খেলে,হেতে স্কুলের মাডো হইত্তোদিন ক্রিকেট খেলে,হে ইস্কুলর মাঠো ফত্তেকদিন ক্রিকেট খেলায়
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল,হ্যায় ইশকুলের মাডে মাথা ঘুরাইয়া পইড়া গ্যাল্লেহ,ইবা বিদ্যালয় অর মাডঅত মায়া গুরি ফরি গেইয়্যুই,হেয় ইস্কুলের মাঠে মাথা ঘুরায়া পইড়া গেসিল,হেতি স্কুলের মাডো মাতা ঘুরি হড়ি গেছেগই,হে ইস্কুলর মাাঠো মাথা গুরাইয়া পরি গেছিল
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো,হ্যায় ম্যালা দিন আগে হ্যার ইশকুলের এউক্কা মাইয়ারে ভালোবাসতো,ইতে বউত দিন আগে তার বিদ্যালয় অর ওজ্ঞা মাইফোয়ারে বালবাসিতো,হেয় অনেকদিন আগে হের ইস্কুলের একটা ছেড়িরে ভালবাসতো,হেতে মেলা দিন আগে স্কুলের অগগা বইতালিরে ভালোবাইসতো,হে বাক্কা আগে তার ইস্কুলর একটা ফুড়িরে ভালা পাইতো
ছেলেটি তাঁর গ্রামের ছোটো  একটি  বিদ্যালয়  থেকে পড়ালেখা করে এসএসসি  পাশ করেছে,পোলাডা হ্যার গেরামের ছোডো এউক্কা ইসকুল হইতে পড়াল্যাহা কইররা মেটটিক পাশ করছে,ফোয়াইবা তার গেরামর গুরা এক্কান বিদ্যালয় অত্তুন ফরালেহা গরি এসএসসি ফাশ গইরগে,ছেড়াটা হের গ্রামের ছোট একটা ইস্কুল থাইক্কা পড়ালেহা কইরা এসএসসি পাশ করসে,হোলাগা হেতাগো গ্রামের ছোট্ট এককান স্কুলতুন হড়ালেয়া করি  এসএসসি হাস কইচ্ছে,ফুয়াাটায় তার গাউর ছুটো এখটা ইস্কুল থাকি পড়িয়া এসএসসি পাশ খরছে
তোমাদের বাসা কোথায়?,তোমাগো বাড়ি কোম্মে?,তোঁয়ারার বাসা হডে,তোমরার বাসা কই?,তোংগো বাসা কোনাই,তুমার বাসা খই?
ঢাকা বাংলাদেশের রাজধানী,ঢাহা বাংলাদেশের রাজধানী,ডাহা বাংলাদেশঅর রাযদানি,ঢাকা বাংলাদেশের রাজধানী।,ঢাকা বাংলাদেশ এর রাইজধানী,ঢাকা বাংলাদেশর রাজধানী
তুমি কি আমার সাথে প্রেম করবা?,তুমি কি মোর লগে পেরেম করবা?,তুঁই কি আঁর ফোয়ারে ফেম গরিবা নে,তুমি কিতা আমার সাথে প্রেম করবা?,তুই কি আর লগে হেম কইরবা,তুমি কিতা আমার লগে পিরিত করবায় নি?
আমি আজকে সকালে ফুটবল খেলেছি,মুই আইজগো বেইননা কালে ফুটবল খেলছি,আঁই আযিয়া বেইন্না ফুটবল কেলা হাইয়্যি,আমি আজকে সকালে ফুটবল খেলছি,আই আইজগা সকালে ফুলবল খেইলছি,মুই আইজ বিয়ানে ফুটবল খেলাইছি
আমি তোমার মনের কথা বুঝি না,মুই তোমার মনের কথা বোঝতে পারি না,আঁই তোয়াঁর মন অর হতা বুজি,আমি তোমার মনের কথা বুঝি না।,আই তোওর মনে কতা বুজি,মুই তুমার মনর খতা বুজি না 
তোমার জন্য আমার খুব কষ্ট হয়,তোমার লইজ্ঞা মোর বেমালা কষ্ট হয়,তোঁয়ার লাই আঁর কুব হস্ট অই,তোমার লাইজ্ঞা আমার মেলা কষ্ট হয়,তোওর লাই আর মেলা কষ্ট লাগে,তুমার লাগি আমার খুব খষ্ট অয়
আমাদের স্বপ্ন অনেক বড়,মোগো হপোন ম্যালা বড়,আঁরার সফ্ন বউত ডঅর,আমরার স্বপ্ন মেলা বড়,আংগোর স্বপ্ফন মেলা বড্ডা,আমরার সফনো বহুত বড়
অল্পবয়সী একটি  ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে,‍কমবয়সী এউক্কা পোলা বায়রায় ফুডপাতে দৌড়াইতেয়াছে,আল্ফবয়স্যা ফোয়া অজ্ঞা বাইরে ফুটফাতত দুরের,কম বয়স্ক একটা ছেড়া বাইরে ফুটপাতে দৌড়াইতাসে,কম বয়সি অগগা হোলা বাআরা রাস্তার অচে ফুটপাতে দৌড়ার,অল্প বয়সর এখটা ফুয়া বারে ফুটপাতো দৌড়ার
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে,এউক্কা ল্যাদা গেদু বিছনায় লাফাইয়া ওঠছে,ওজ্ঞা গুরা ফোয়া বিচানাতা ফালমারি উডের,একটা ছুটো আবু বিছানাত লাফাইয়া উঠছে,লেদা বাইচ্চা বিছনাত লাফাই উডের,এখটা ছুটো মনা বিছনাত লাফাইয়া উটের
একটি ছেলে বিছানায় লাফাচ্ছে,এউক্কা পোলা বিছনায় লাফাইতেয়াছে,ওজ্ঞা ফোয়া বিচানাত ফালার,একটা ছেড়া বিছানাত লাফাইতাসে,এগগা হোলা বিছনাত লাফাআর,এখটা ফুয়া বিছনাত ফালার
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে,এউক্কা পোলা এউক্কা বিছনা গোনে আর এউক্কা বিছানায় লাপ দেতেয়াছে,ওজ্ঞা ফোয়া এক বিচানাত্তুন আরেক বিচানাত ফাল মারে,একটা ছেড়া এক বিছানাততন আরেকটা বিছানাত লাফ দিতাসে,অগগা হোলা এক বিছনাত তুন আরোক বিছানাত লাফ দেএর,এখটা ফুুয়া এক বিছনা থাকি আরোখ বিছনাত ফাল দের
একটি ছোট শিশু ফুটপাতে হাঁটছে,এউক্কা ছোডো গেদু ফুডপাতে হাটতেয়াছে,ওজ্ঞা গুরা ফোয়া ফুটফাতোত আডের,একটা ছুটো আবু ফুটপাতে হাটতাসে,লেদা বাইচ্চা ফুটপাতে আডেএর,এখটা হুরু মনা ফুটপাতো আটের
আমি একজন ছেলে,মুই এউক্কা পোলা,আঁই ওজ্ঞা ফোয়া,আমি একটা ছেড়া,আই অগগা হোলা,মুই এখটা ফুয়া
আমি একজন মেয়ে,মুই এউক্কা মাইয়া,আঁই ওজ্ঞা মাইফোয়া,আমি একটা ছেড়ি,আই অগগা বইতালি,মুই এখটা ফুড়ি
আমার স্বামী আমাকে খুব ভালোবাসে,মোর জামাই মোরে বেমালা ভালোবাসে,আঁর জামাই আঁরে কুব বালবাসে,আমার জামাই আমারে মেলা ভালবাসে,আর জামাই আরে অনেক ভালোবাসে,আমার জামাই আমারে খুব ভালা পায়
স্কুল জীবন থেকে তাদের প্রেম ছিলো,ইসকুল সময় হইতে হ্যাগো পেরেম আল্লেহ,স্কুল যিবন অইতে তারার ফ্রেম আচিল,ইস্কুল জীবনতে তারার প্রেম আসিল,স্কুল জীবনতুন হেতাগো পেম আছিলো,ইস্কুল জীবন থাকি তারার পিরিত আছিল
আমি বিবাহ করেছি দশ বছর হয়,মুই বিয়া করছি ১০ বছর হইছে,আঁই বিয়া গইরগি দশ বচর অর,আমি বিয়া করসি দশ বছর হইসে,আই বিয়া কইচ্ছি দশ বছর অর,আমার বিয়ার দশ বছর অর
অসম্ভব ভাল ছবি,বেমালা ভালো ছবি,এব্বারে গম চবি ,অসম্ভব ভালা ছবি,অসম্ভব ভালা ছবি,বহুত ভালা ছবি
বহুদিন পরে একটা ভাল ছবি দেখলাম,ম্যালাদিন পরে এউক্কা ভালো ছবি দেখলাম,বউদ্দিন ফর এক্কান বালা চবি দেইলাম,মেলাদিন পরে একটা ভালা ছবি দেখলাম,মেলা দিন হরে এককান ভালা ছবি দেইকছি, বাক্কাদিন বাদে এখটা ভালা ছবি দেখলাম
অসম্ভব ভালো লিখেছেন,বেমালা ভালো ল্যাখছেন,বেশি গম লিকখো,অসম্ভব ভালা লিখসেন,অসম্ভব ভালা লেইকছে,বহুুত ভালা লেখছইন
বহুদিন পরে একটা ভালো লেখা পড়লাম,ম্যালাদিন পরে এউক্কা ভালো ল্যাহা পড়লাম,বউদ্দিন বাদে এক্কান বালা লেহা ফইরলাম,মেলাদিন বাদে একটা ভালা লেহা পড়লাম,বহুতদিন হরে এককান ভালো লেয়া হইড়লাম,বাক্কাদিন বাদে এখটা ভালা লেখা পড়লাম
প্রচণ্ড মাথা ব্যথা করছিলো,বেমালা মাথা ব্যাথা করতেয়াছেলে,মাতা হঁরাইলদি এএন ন,বহুত মাথা ব্যথা করতাসিলো,প্রচন্ড মাথাব্যথা কইত্তাছিলো,যে মাথাত বেদনা ধরছিল
কিছুই বুঝতে পারলাম না,কিছুই বোঝতে পারলাম না,কিচুই ন বুযিলাম,কিনুতাই বুঝতে পারলাম না,কিছুই বুইঝদাম হারিনো,কুনতা বুঝতাম ফারলাম না
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন,হ্যায় এইডা দেইখ্যা গেয়ান হারাইয়া ফালাইছে,ইবা ইয়ান দেহি বিয়ুশ অই গেইয়্যুয়,হেয় এইডা দেইক্ষা জ্ঞান হারায়া ফালাইসে,হেতন এটা দেই অজ্ঞান হই গেছে,তাইন অখটা দেখিয়া গিয়ান আরাই লাইছইন
এক কথায় অনেক সুন্দর লাগছে আপনাকে,এক কথায় ম্যালা সুন্দর লাগতেয়াছে আমনেরে,এক হতায় বউত সুন্দর লাগের অনেরে,এক কথায় মেলা সুন্দর লাগতাসে আফনেরে,এককতাত আন্নেরে অনেক সুন্দর লাগের,এক খতায় আফনারে বাক্কা সুন্দর লাগের
আপনার ছবির চেয়ে আপনি বাস্তবে বেশি সুন্দর,আমনের ছবির চাইতে আমনে বাস্তবে বেমালা সুন্দর,অনর চবিরতুন বেরা অনে বাস্তবে বেশি সুন্দর,আফনের ছবিরতন আফনে বাস্তবে বেশি সুন্দর,আন্নের ছবির তুন বাস্তবে আন্নে বেশি সুন্দর,আফনার ছবি থাকি আফনে বাস্তবে অনেখ বেশি সুন্দর
আপনার হাশির কাছে সব কিছু হার মেনে যায়,আমনের হাসির সামনে বেবাক কিছু হার মাইন্না যায়,অনর আশির হাচে বেজ্ঞিন আর মানি যাইগই,আফনের হাসির কাসে বেক কিসু হার মানে,আন্নের হাসির কাছে বেক কিছু হার মানি যায়,আফনার হাসির কাছে সব কিছু হার মানি যায়
আপনার চোখ অনেক সুন্দর,আমনের চউখ বেমালা সুন্দর,অনর চোক বউত সুন্দর,আফনের চোখ মেলা সুন্দর,আন্নের চোকগুন অনেক সোন্দর,আফনার চউক অনেখ সুন্দর
আপনার সাথে পরিচিত হয়ে  ভালো লাগলো,আমনের লগে পরিচিত হইয়া ভালো লাগছে,অনর লাই ফরিচয় অই বউত বালা লাইজ্ঞে,আফনের লগে পরিচিত হয়া ভালা লাগলো,আন্নের লগে পরিচয় অই ভালা লাইগছে,আফনার লগেে পরিচিত অইয়া ভালা লাগলো
অনেক সময় পর আপনাকে দেখছি,ম্যালাদিন পর আমনেরে দেখলাম,বউত দিন ফর অন অরে দেহির,মেলা সময় বাদে আফনেরে দেখতাসি,মেলাদিন হরে আন্নেরে দেইকলাম,বাক্কা সময় পর আফনারে দেখলাম
